Arabic,English
مِن,From
ٱللَّه,Allah 
فِي,In
إِنّ,Indeed
عَلَىٰ,Upon
ٱلَّذِي,The one who / That
لَا,No / Not
مَا,What
رَبّ,Lord
إِلَىٰ,To / Towards
مَا,What / Whatever
مَن,Who / Whoever
إِن,If
أَن,That
إِلَّا,Except
ذَٰلِك,That
عَن,About / Concerning
أَرْض,Earth / Land
قَد,Indeed / Already
إِذَا,When / If
قَوْم,People / Nation
ءَايَة,Sign / Verse
أَنّ,That / Indeed
كُلّ,All / Every
لَم,Did not
ثُمّ,Then
رَسُول,Messenger
لَا,No / Not
يَوْم,Day
عَذَاب,Punishment
هَٰذَا,This
سَمَاء,Sky / Heaven
نَفْس,Soul / Self
شَيْء,Thing
أَو,Or
كِتَٰب,Book
بَيْن,Between
حَقّ,Truth / Right
نَاس,People
إِذ,When
أُولَٰٓئِك,Those
قَبْل,Before
مُؤْمِن,Believer
لَو,If only
سَبِيل,Path / Way
أَمْر,Matter / Command
عِند,With / At
مَع,With
بَعْض,Some
لَمَّا,When / Not yet
أَيُّهَا,Calling attention
خَيْر,Good / Better
إِلَٰه,God / Deity
نَار,Fire
غَيْر,Other than / Not
أَم,Or
مُوسَىٰ,Moses
دُون,Without / Below
آخِر,Last / End
بَعْد,After
قَلْب,Heart
عَبْد,Servant / Slave
أَهْل,People / Family
لَعَلّ,Perhaps
بَل,Rather
يَد,Hand
كَٰفِرُون,Disbelievers
رَحْمَة,Mercy
رَحِيم,Merciful
أَجْر,Reward
ظَالِم,Oppressor / Wrongdoer
عِلْم,Knowledge
عَظِيم,Great / Tremendous
لَن,Will not
إِلَّا,Except
عَلِيم,All-Knowing
جَنَّة,Paradise / Garden
حَتَّىٰ,Until
هَل,Is / Are / Do 
دِين,Religion
قَوْل,Saying / Speech
ذُو,Possessor of
مَلَك,Angel
مَثَل,Example / Likeness
مَال,Wealth / Money
وَلِىّ,Guardian / Protector
هُدًى,Guidance
حَكِيم,Wise
فَضْل,Bounty / Favor
صَلَوٰة,Prayer
لَيْل,Night
بُنَىّ,Children
شَيْطَٰن,Satan
كَيْف,How
يَوْم,Day
أَصْحَٰب,Companions
أَكْثَر,Most
جَهَنَّم,Hell
حَيَوٰة,Life
ذِكْر,Remembrance
زَوْج,Spouse
أَخ,Brother
مِثْل,Like / Similar to
نَبِىّ,Prophet
أَحَد,One / Anyone
خَٰلِد,Eternal
دُنْيَا,Worldly life
فِرْعَوْن,Pharaoh
عَٰلَمِين,Worlds / Universes
أَلِيم,Painful
مُبِين,Clear
إِنسَٰن,Human
عَمَل,Deed / Action
وَجْه,Face
قِيَٰمَة,Resurrection / Judgment Day
يَوْمَئِذ,That day
إِبْرَاهِيم,Abraham
قُرْءَان,Quran
بَيْت,House
يَمِين,Right (Direction / Hand)
آبَاء,Fathers
أُمَّة,Nation / Community
ٱبْن,Son
عَزِيز,Mighty
مَآء,Water
صَٰلِحَٰت,Righteous deeds
غَفُور,Forgiving
أَوَّل,First
صَٰلِح,Righteous
صَادِق,Truthful
نِسَآء,Women
نَذِير,Warner
عَيْن,Eye / Spring
قَرْيَة,Village
نَهَار,Daytime
وَلَد,Child
بَيِّنَة,Clear proof
رِزْق,Provision
نَهَر,River
جَمِيع,All
أَجَل,Appointed time
خَلْق,Creation
سُوٓء,Evil
مَوْت,Death
نِعْمَة,Blessing
عَدُوّ,Enemy
غَيْب,Unseen
مُتَّقِين,God-fearing / Pious
وَعْد,Promise
بَصَر,Vision
تَحْت,Beneath
دَار,Abode
مُلْك,Kingdom
حِسَاب,Reckoning / Account
سَلَٰم,Peace
شَرِيك,Partner
شَهِيد,Witness
جَبَل,Mountain
سَمِيع,All-Hearing